番剧名,图片链接,播放量,弹幕量,投稿时间
【10月】JOJO的奇妙冒险 黄金之风 19【独家正版】,http://i2.hdslb.com/bfs/archive/0191d9c95663b555b6c75910bb0a246976dc93cb.jpg,971905,23982,2019-02-15 19:29:39
【1月】B-PROJECT～绝顶＊Emotion～ 06【独家正版】,http://i2.hdslb.com/bfs/archive/32f18792a453ebc8d77804111d0d4e2c956d915a.jpg,12744,247,2019-02-16 00:30:00
【10月】火之丸相扑 18,http://i2.hdslb.com/bfs/archive/8cce039ac6f65a6cdc27c1811e89c5f2f26893d4.jpg,80427,1055,2019-02-15 23:16:27
【1月】笑容的代价 07【独家正版】,http://i2.hdslb.com/bfs/archive/b6f63de78e2f80aecc80ca83455a51c9993911e7.jpg,52401,1206,2019-02-15 19:29:09
【10月】魔法禁书目录 第三季 19,http://i1.hdslb.com/bfs/archive/c039381a283aa6ab9e4adf5def7b5ec56a024716.jpg,619419,13243,2019-02-15 22:30:00
【1月】约会大作战 第三季 06,http://i2.hdslb.com/bfs/archive/1abdc1813ea4b482eafb70e6080515e4bffa20c6.jpg,836005,44169,2019-02-15 22:00:00
【1月】不吉波普不笑 08【独家正版】,http://i0.hdslb.com/bfs/archive/0782f79aca471208cb2544514d535c565a926266.jpg,197995,2410,2019-02-15 21:00:00
【2月】交锋联盟 机巧一族 01【官方中字】,http://i1.hdslb.com/bfs/archive/72dbc166f32c010330baef36ab210e89af4ee985.png,3820,14,2019-02-15 20:15:30
【10月】宝贝老板.重围商界 S02E03【翻托邦字幕组】,http://i2.hdslb.com/bfs/archive/1190108bdff27b4fc88e331cb947b9c9979328ff.jpg,645,2,2019-02-15 20:14:58
【5月】游戏王VRAINS 089【VRAINSTORM】,http://i2.hdslb.com/bfs/archive/3d4c96656c21fe92ff1c6f5f8467f2f2d0267265.png,50161,1577,2019-02-15 20:12:32
【1月】格林笔记 The Animation 06【独家正版】,http://i2.hdslb.com/bfs/archive/8f1678d6433f3cb93e65ca5718f7af24ae712544.jpg,91341,2737,2019-02-15 15:03:18
【1080P】宝贝老板：重围商界 第二季03【中文字幕】,http://i2.hdslb.com/bfs/archive/419813d7cc0d57ae7170e6f8ce263391899a0b4c.png,2063,2,2019-02-15 12:07:38
【1月】Dimension High School 06【生肉】,http://i2.hdslb.com/bfs/archive/4f437ba82dc35deeca3bcc6cb2e5794f140f5358.png,2966,1,2019-02-15 12:05:21
【1月】同居人是猫 03【英配生肉】,http://i2.hdslb.com/bfs/archive/297e7eb54a696e4a1193ef41f2f7bb0ca2934bd6.png,2125,1,2019-02-15 12:04:54
【1月】五等分的新娘 06【独家正版】,http://i2.hdslb.com/bfs/archive/0938372f467566759eb119dbd1fda195aa99e73f.jpg,1600037,80961,2019-02-14 18:45:42
【1月】约定的梦幻岛 06【独家正版】,http://i2.hdslb.com/bfs/archive/5ee58db7d2b828b4cf147d9fb69ef6e7f1ed4cb2.jpg,801826,33658,2019-02-15 00:40:47
【1月】BanG Dream! 第二季 07【独家正版】,http://i0.hdslb.com/bfs/archive/86046e51ff1712de42372886f5408cb5a72a2ef6.jpg,33287,1057,2019-02-14 23:30:00
【10月】魔偶马戏团 17【独家正版】,http://i1.hdslb.com/bfs/archive/13a2a192006769dc2a7d76e6e8740a87a1e74595.jpg,61427,984,2019-02-14 22:30:00
【1月】荒野的寿飞行队 05【千夏字幕组】,http://i0.hdslb.com/bfs/archive/da59e63c469d92e2d6f163b37d2670e5a4eac65f.png,15610,614,2019-02-14 19:01:56
【长篇】精灵宝可梦 日月 108【枫叶】,http://i0.hdslb.com/bfs/archive/05f596d8c89aceb2381ac8d8bbd4a2c2ef6bed12.jpg,227841,7222,2019-02-14 15:20:54
【1月】gen:LOCK 04【傲娇零】,http://i0.hdslb.com/bfs/archive/7d3da72deaf151fcc4ab04593ccf6b007b9dc933.jpg,17148,519,2019-02-14 12:08:54
【12月番】爆丸戰斗之星(Bakugan-battle-planet)-第三話【零總個人漢化】,http://i0.hdslb.com/bfs/archive/73c1264935ef7c61d43ecc49c5414894239a3943.jpg,1273,5,2019-02-14 11:47:14
【1月】虚拟小姐在看着你 06【生肉】,http://i1.hdslb.com/bfs/archive/a6d676267a1a67e6aca2c91d4de3f83ebbb80479.png,10555,183,2019-02-14 11:46:54
【5月/生肉】游戏王VRAINS 89,http://i1.hdslb.com/bfs/archive/33cd9740e81df84316805054774acab84b2ebdd7.jpg,8610,166,2019-02-14 11:46:16
【1月】临死！！江古田 06【幻樱】,http://i2.hdslb.com/bfs/archive/ea56183fe8a99c45cb089c3074069c864544d2ea.png,2690,17,2019-02-14 11:45:59
【1月】同居人是猫 06【独家正版】,http://i2.hdslb.com/bfs/archive/ba513d1cc1fa70d9dfdf63dae8daf5c37431d161.jpg,477519,9563,2019-02-14 00:00:00
【1月】明治东京恋伽 06【独家正版】,http://i2.hdslb.com/bfs/archive/1d65ad018c84db75b08cdf22dd4d32eb34531a9a.jpg,131098,2372,2019-02-13 23:00:00
【1月】盾之勇者成名录 06【独家正版】,http://i1.hdslb.com/bfs/archive/c73312db98acc2166358da3680e8a503480e9a63.jpg,2414411,79294,2019-02-13 22:00:00
【1月】烟草 06【独家正版】,http://i1.hdslb.com/bfs/archive/31bac6108f0fb96fcf0f887111b18bb495c7bc26.jpg,93054,1750,2019-02-13 21:30:00
【1月/生肉】草裙舞女孩(Hulaing Babies) 05,http://i1.hdslb.com/bfs/archive/2f549a62b4afc3fae0fb1fe4a1e6d42e304f0b1f.jpg,356,1,2019-02-13 19:38:12
【12月】宠物小精灵:无印篇 26【全新粤语配音】,http://i0.hdslb.com/bfs/archive/f95726b6dffa858ce61f75ea1ed2f213a8badba8.jpg,1557,7,2019-02-13 19:38:03
【1月】草裙舞女孩(Hulaing Babies) 05【F宅】,http://i1.hdslb.com/bfs/archive/2ff0a1fc76b89657a462bda3b5f514a2685ffeec.jpg,3099,6,2019-02-13 19:37:54
【6月/生肉】未来卡 神搭档对战 第36话,http://i2.hdslb.com/bfs/archive/9059c7b6f347cf90be7d689ba255fc4dca259679.jpg,1870,2,2019-02-13 19:37:44
【1月|web动画】「PSO2 动画乱炖」 第6话 画面截图的秘密 【个人制作双语字幕|先行试看伪1080p】,http://i2.hdslb.com/bfs/archive/95e1bb1b36a9a97c38dfe10475e0260663e16927.jpg,1225,4,2019-02-13 12:07:36
【1月】临死！！江古田 06【生肉】,http://i2.hdslb.com/bfs/archive/d50b3d19960dcaf51075f8a6a8a290ecd5c7286b.png,2099,7,2019-02-13 12:07:21
【10月】强风吹拂 17,http://i0.hdslb.com/bfs/archive/3ec2ea8478b1e5b3c56290e9eeb52cae466ed25a.jpg,210140,6245,2019-02-12 21:18:55
【1月】雨色可可side G 06【独家正版】,http://i1.hdslb.com/bfs/archive/67c183298731d702c7cfe18c7178908146fc8b15.jpg,45028,167,2019-02-12 22:20:15
【1月】天使降临到我身边 06【独家正版】,http://i1.hdslb.com/bfs/archive/ad6478b6d0643047a8f8fdc872be7368a0b1c1ae.jpg,655263,30749,2019-02-12 21:17:00
【1月】环战公主 CIRCLET PRINCESS 06【独家正版】,http://i0.hdslb.com/bfs/archive/0d9cad0804c607e79f9e1b9ac4bc0af028e32c43.jpg,56406,1295,2019-02-12 21:17:44
【10月】坠入爱河的瞬间-零(第19话)【瞎猜字幕组】,http://i0.hdslb.com/bfs/archive/8528192f8cdecbad53aba1fbb30e0282a1a1c772.jpg,3400,0,2019-02-12 18:57:57
【10月】黑色四叶草 70,http://i0.hdslb.com/bfs/archive/2aebc1a09bba3b25fd7d27cb4b0c661c26ca4618.jpg,202237,2309,2019-02-12 18:25:00
【1月/生肉】『PSO2』「动画乱炖」第6话,http://i1.hdslb.com/bfs/archive/70c24e1585681acffa9bdeb34ffbea3c4fdc2946.jpg,3093,3,2019-02-12 16:00:17
【连载】哆啦A梦新番550【钉铛】,http://i1.hdslb.com/bfs/archive/a8389289ed06fd88cc31d45dc5ebbcd339ad4d8e.jpg,37901,1094,2019-02-12 10:47:35
【12月】我的英雄学院 第二季 09【粤语中字】,http://i0.hdslb.com/bfs/archive/fd8b77c3b9057b09dc2dbd0b7b664d5e211ee2ee.png,6092,14,2019-02-12 00:13:49
【1月】濒危动物 第8话「小熊猫的地盘~」【WebRip】,http://i0.hdslb.com/bfs/archive/6113c9cdd13f7df18c67a2bf5ad1c75501adb0a5.jpg,860,0,2019-02-12 10:47:36
【1月】濒危动物 第7话「自尊心强的老虎」【WebRip】,http://i2.hdslb.com/bfs/archive/da6aa8015c057dc6e1ce52fadd3c3bd3c163da9d.jpg,669,0,2019-02-12 10:47:36
【旧番BDBOX】CITY HUNTER/城市猎人 第001話「粋なスイーパー XYZは危険なカクテル」【720P/BDRip】,http://i1.hdslb.com/bfs/archive/70a5caca82930f8af43f3020a5b6b441add5dc1d.png,1275,10,2019-02-11 06:23:28
【1月】濒危动物 第1话「北极熊的启程」【WebRip】,http://i0.hdslb.com/bfs/archive/836fc2bc756bb607cef2082d5993157ecd88732a.jpg,1022,2,2019-02-12 09:55:18
【1月】兽娘动物园 2 05,http://i0.hdslb.com/bfs/archive/9ff3d3121c17ad8dc6aa9ecdd3bf04b63f614e33.jpg,27667,963,2019-02-12 02:05:00
【10月】关于我转生变成史莱姆这档事 19,http://i0.hdslb.com/bfs/archive/40084ba9fdfa2f166d870edd532e2bd11b55d84f.jpg,3897826,103891,2019-02-12 00:30:00
【1月】濒危动物 第6话「让我们鼓励长颈鹿吧~」【WebRip】,http://i0.hdslb.com/bfs/archive/5c31397ea4bc51326bc16e67b07ca03709bbdc7a.jpg,678,1,2019-02-11 23:55:53
【1月】灵能百分百 II / 路人超能100 II 06【独家正版】,http://i0.hdslb.com/bfs/archive/7d8e0c1b8bbb96ab0de0b8b7ce44b06ca69aa5c9.jpg,1608112,29293,2019-02-11 21:00:10
【1月】濒危动物 第5话「黑犀牛的视力不好」【WebRip】,http://i1.hdslb.com/bfs/archive/34fd13f01bf9d3aca76eb45e80a34b74d6fa0720.jpg,536,0,2019-02-11 23:21:09
【1月】濒危动物 第4话「我们该走哪条路呢？」【WebRip】,http://i2.hdslb.com/bfs/archive/40d124cf75c5dec7c97a23f655d8cb44899d13f9.jpg,458,0,2019-02-11 23:21:09
【1月】濒危动物 第3话「大象桑的印章」【WebRip】,http://i1.hdslb.com/bfs/archive/607bda7aa8080d444d66636315b4b8f5b0a38a3b.jpg,465,0,2019-02-11 23:21:09
【1月】濒危物种 第2话「与熊猫的相遇」【WebRip】,http://i2.hdslb.com/bfs/archive/599bc49dcb0a62c5e8468184c2edd8e46bae4401.jpg,1027,0,2019-02-11 23:21:09
[1月]新干线变形机器人 进化先锋 54[NEO·QSW],http://i2.hdslb.com/bfs/archive/da5b8a75190c6c2e41090cdb7f233ec788de040b.jpg,2474,6,2019-02-11 22:17:38
【TXB粵語】索斯机械兽 ZOIDS WILD 08【無字幕】,http://i1.hdslb.com/bfs/archive/5b726bd22bcfbb98de439ebc9336553bdaa769c8.jpg,1786,2,2019-02-11 17:51:54
【1月】多罗罗 06【独家正版】,http://i2.hdslb.com/bfs/archive/5f73754872bab9cad8ef7e1b4712a81b0d172d0b.jpg,1971593,63592,2019-02-11 18:50:55
【TVB粤语】哆啦A梦新番(2019.02.11)好的家、坏的家&圆形三角四方恐惧症【HDTVRip/1080p】,http://i1.hdslb.com/bfs/archive/77b7e0a591c66a9a1d6afe0d56a330fa29f49ab5.jpg,2059,7,2019-02-11 21:30:19
【TXB粵語】索斯机械兽 ZOIDS WILD 07【無字幕】,http://i1.hdslb.com/bfs/archive/c5656d20d815a9c898b9f60e11233d186ea22006.jpg,1021,1,2019-02-11 16:26:42
【4月】	智龙迷城 45,http://i1.hdslb.com/bfs/archive/2e963db9c70eb2be2d1bcf2c14850f331ad00938.jpg,2809,11,2019-02-11 18:25:00
【12月】宠物小精灵:无印篇 25【全新粤语配音】,http://i2.hdslb.com/bfs/archive/8b08a98f60ba48504e7bb72411106e6ec4376d62.jpg,1159,4,2019-02-11 17:51:48
【生肉】精靈寶可夢太陽與月亮SM-第108集-在卡璞・鰭鰭的迷霧中[720P],http://i1.hdslb.com/bfs/archive/6a7f2563827d1b1db6bbf198bfe3868eaaeb79ff.jpg,8034,57,2019-02-11 16:26:49
【生肉】星之島喵喵 第10集,http://i0.hdslb.com/bfs/archive/f53d55ac1d000f72082d2d64a4905e30182b790c.jpg,184,0,2019-02-11 15:15:43
【生肉】星之島喵喵 第9集,http://i0.hdslb.com/bfs/archive/4620c792075e08ebf18e129723a72534c1548357.jpg,206,1,2019-02-11 15:15:39
【1月】四月是你的谎言 06【粤语中字】,http://i0.hdslb.com/bfs/archive/43def8f44e2d78de23f1279ade1b10467294be83.jpg,2775,5,2019-02-10 21:58:25
